delt_dom,delt_int,growth,World Equal,World Negishi,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
1.0,0.09999999999999941,0.01787355910998249,0.9808130216633972,0.9700949138519069,1.0093129942308956,1.0123148177494241,1.0167011082369743,0.8324349019545131,1.006366419858031,1.0083438894113514,1.012546101036734,1.0346553594379957,1.0118843477800876,1.0088179122878322,1.0071569377849905,1.0098383792281327
1.0,0.12589254117941612,0.017719370617283643,0.9841547025967301,0.9752226587401405,1.0076895248090365,1.0102740283221476,1.0139322734503,0.8574023699757933,1.0053036696065234,1.0069439875770336,1.0103799391701895,1.0285724326058157,1.0099399696077522,1.0073809952424198,1.0058990109840955,1.0081949793252472
1.0,0.15848931924611095,0.01757065407479007,0.9872765122084924,0.9800375166347038,1.0061723253719113,1.0083471390820515,1.011325220664405,0.8820785062249807,1.0043097904243687,1.0056348494330694,1.0083602600071535,1.0228917176255305,1.0081066754280896,1.0060263534384897,1.0047450484927252,1.0066400428407687
1.0,0.19952623149688722,0.01743138016286028,0.9900889419461356,0.9843868634658711,1.0048093373886282,1.0065944337574426,1.0089581798908573,0.9054648316434011,1.0034130603606366,1.0044531469326092,1.006545533567511,1.0177794235539812,1.0064387113345077,1.0047939855001728,1.003722577636952,1.0052450585523727
1.0,0.25118864315095796,0.017303566697521373,0.992542301501759,0.9881946937185502,1.0036221484137215,1.0050461894536395,1.0068703743024638,0.9268705700597518,1.002623879558119,1.0034139037824472,1.004961795933495,1.0133208642970062,1.0049602060730867,1.003700215061404,1.0028378364244233,1.0040234909762071
1.0,0.3162277660168373,0.01718852474546839,0.9946138868677101,0.9914254112871224,1.0026200993269805,1.003717802899062,1.0050809392203266,0.945775863847224,1.0019460527661743,1.0025230379312458,1.0036189846093737,1.0095533118004179,1.0036827368580166,1.0027532751009514,1.0020893800740953,1.0029784473757621
1.0,0.39810717055349665,0.017086963229054765,0.9963047762959995,0.9940793686834825,1.0018006682580958,1.0026103847985213,1.0035900532325448,0.9618674976031334,1.0013774742662283,1.0017782580794505,1.0025123225032566,1.0064853223726729,1.002606494731107,1.0019531300115585,1.0014696554585454,1.0021043756238286
1.0,0.5011872336272722,0.01699893438810149,0.9976284157490782,0.9961784626619554,1.0011497739821709,1.0017117441402048,1.0023805798416077,0.9750083849713773,1.000909537029935,1.001168898587259,1.0016235896632462,1.0041656145626776,1.0017210958051512,1.001291237166791,1.0009647533252062,1.0013870853792808
1.0,0.6309573444801934,0.016923866772094575,0.9986639529772069,0.9978322257153122,1.0006440391645453,1.0009942475309488,1.001377382772248,0.9856273802706026,1.000530225582689,1.0006786714522047,1.0009224015741776,1.0023627762972807,1.0010021650924417,1.0007528669422854,1.000560006108933,1.0008078418812805
1.0,0.794328234724281,0.01686193843021767,0.9994374795197973,0.9990806421792569,1.0002662271071399,1.0004388314162744,1.0005889106812054,0.9938296859116733,1.0002312401236402,1.0002951666721582,1.0003909779684623,1.0010080586374874,1.00043649535699,1.00032827928389,1.0002436571442943,1.0003526911155842
1.0,1.0,0.016812063829687203,0.9999999999126081,0.9999999999164508,0.9999999999117549,0.9999999999437248,0.9999999999141708,0.9999999999048538,0.9999999998649882,0.9999999999290249,0.9999999999272206,0.9999999999257545,0.9999999999251317,0.999999999930851,0.9999999999538102,0.9999999999033744
1.0,1.2589254117941668,0.016773419446412603,1.0003828028730406,1.0006403505421826,0.9998219479211967,0.9996778266656926,0.9995722814511413,1.0043931326766902,0.9998249897618751,0.9997796209653638,0.9997187985339964,0.9992624191266071,0.9996744340951063,0.9997532775705039,0.9998153036528212,0.9997325740513419
1.0,1.5848931924611138,0.016744558265086966,1.0006367769031217,1.0010725559881277,0.9996864685037438,0.9994499605967835,0.9992695520735034,1.0074357775549938,0.9996964891776142,0.9996190935877317,0.9995218776063668,0.9987307941625126,0.9994390652338105,0.9995726215941279,0.9996795336128231,0.9995365378125313
1.0,1.9952623149688797,0.016723897971649967,1.0008034230711305,1.001358246362982,0.9995793265976296,0.9992934171254854,0.9990613852766704,1.0094996238570342,0.9996056730230587,0.9995061272976424,0.9993880454060328,0.9983364140907688,0.999274589419821,0.9994448614797359,0.9995837083177633,0.9993981345294298
1.0,2.511886431509581,0.016709539203605114,1.0009062157999664,1.001539014019244,0.9995061120023837,0.999187294744094,0.9989204697653902,1.0108402960466973,0.999542165342853,0.9994279595523309,0.9992974633569524,0.9980741984166194,0.9991619367094329,0.9993562699956704,0.9995165621090455,0.999301900050128
1.0,3.1622776601683795,0.016699837660899945,1.0009680395021465,1.0016508234470327,0.9994569397398733,0.999116709703749,0.9988269435350521,1.011692559336841,0.9994987326518251,0.9993750261868485,0.9992371772202747,0.9979030202767089,0.9990864773710862,0.9992962239897502,0.9994705377978652,0.999236489285825
1.0,3.981071705534973,0.016693450432833445,1.001004460579918,1.0017186803023626,0.9994245342642274,0.9990706616929322,0.9987660797434235,1.012224256338779,0.9994697102888845,0.9993399642368098,0.9991977714961892,0.9977932514044969,0.9990370210990798,0.9992564459901948,0.9994397166565655,0.9991930420002008
1.0,5.011872336272725,0.016689341819393324,1.0010255734034323,1.0017592353638574,0.9994035879288191,0.9990411832907863,0.9987272143602102,1.0125506712050778,0.999450753430798,0.9993172338944968,0.9991724805245955,0.9977240457477577,0.9990052680186128,0.9992306664373778,0.9994195454655244,0.9991648178856223
