country_code,country,fee
1,USA,13729.870472556868
2,EUR,25831.640350627626
3,JAP,24628.22649351839
4,CHN,15145.627698354538
5,BRA,22792.00303882112
6,IND,12343.859423564709
7,ROW,100710.6149648308
