moment,value
GPDIFF,0.0087725
KM,0.09277
SRDUS,0.65
GROWTH,0.0168692
JUPCOST,0.000729426174
UUPCOST,0.003549953
TP,1.479420
SINNOVPATEU,0.3475
SINNOVPATUS,0.40
NUR,0.1
TE,5
sales_mark_up_US,1.8
ERDUS, 0.15
TO, 0.0242
