country,RD ratio pharma,RD ratio chemicals
1,0.0683242460734077,0.0662155585870268
2,0.0615711412085585,0.1116768825172558
3,0.0657865377494277,0.0977541191872428
7,0.0492817243302787,0.031880360754030335
8,0.013920304256363631,0.06668733732769637
12,0.0234197531395563,0.027092833047183
