delt,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
0.09999999999999974,1.0012136975677874,1.0014325857281996,1.0015138267673127,1.001268407134354,1.001277467010394,0.9515671102086027,1.0013388659108156,1.0017985860227399,1.0014220232727773,1.0013172154055354,1.001198459868003,1.001275397383294
0.10427538888537637,1.0011893276342052,1.0014007139498813,1.0014805015728412,1.0012400270818855,1.0012483546085258,0.9525020957035402,1.0013084274393829,1.0017592264868744,1.0013900396138318,1.0012873280253112,1.0011706078016305,1.0012459680399564
0.10873356727196562,1.0011646447257294,1.0013685641046417,1.0014468343604204,1.0012114115272117,1.0012189946278214,0.9534509091609652,1.0012777310678704,1.0017194903998716,1.001357769492968,1.0012571803941117,1.001142548353809,1.0012163052840886
0.11338235012178448,1.0011394930709656,1.0013361549556106,1.0014127868943756,1.0011825438896171,1.0011894158612862,0.9544147606318274,1.0012468035706232,1.001679416018384,1.0013252390712217,1.001226801508899,1.0011143002267069,1.001186442091106
0.11822988651687033,1.0011140499803943,1.0013035206645775,1.0013784371686092,1.001153485394785,1.0011596484267609,0.955392818339977,1.0012156760870683,1.0016390432263385,1.0012924803584309,1.0011962184734868,1.001085898454832,1.0011564015145993
0.12328467394420625,1.001088441229213,1.0012706859764549,1.0013438777504853,1.00112424378284,1.0011297097311127,0.9563802156503848,1.0011843691443865,1.0015984114426875,1.0012595170325809,1.0011654609482044,1.0010573533233065,1.0011261993544716
0.12855557319138997,1.0010620984261092,1.0012376739737419,1.0013088800843024,1.0010948361859546,1.0010996346480547,0.9573878629619689,1.0011529130602304,1.0015575048432677,1.001226376548557,1.001134543488061,1.0010287162236449,1.0010958916293515
0.1340518238791469,1.0010356056736394,1.0012045267797818,1.001273722830944,1.0010653175596624,1.0010694462792937,0.9584046208764282,1.0011213445397267,1.001516419253996,1.0011930970603842,1.0011035134090107,1.0009999950411756,1.0010654877777945
0.13978306065792115,1.0010087623379265,1.0011712664727808,1.001238332237952,1.0010356803902927,1.0010391781673953,0.9594341175262584,1.001089684002553,1.0014751574685157,1.0011597022257128,1.0010723874724672,1.0009712287395474,1.0010350203249316
0.14575933009692912,1.0009815354043359,1.0011379308459984,1.0012027396606373,1.0010059723171394,1.0010088588741064,0.9604759871285377,1.0010579693550274,1.0014337722898965,1.0011262345963878,1.0010412067539742,1.000942449477708,1.0010045263558016
0.1519911082952931,1.0009538476374782,1.0011045531033784,1.0011669277301378,1.0009762209587083,1.0009785340216244,0.9615312497673953,1.00102623708486,1.0013922954941419,1.0010927233837448,1.001009998777234,1.0009136994358243,1.0009740487524492
0.15848931924611118,1.000926118559941,1.0010711835386763,1.0011311007951038,1.0009464947310736,1.0009482267466425,0.9625929193452796,1.000994526818607,1.0013508007928624,1.0010592206586277,1.0009788151345362,1.0008849902001096,1.0009436040395234
0.16526535398566886,1.000898443401527,1.0010378537961364,1.0010953255907304,1.000916808303408,1.0009179709354472,0.9636565375987101,1.0009628699395465,1.0013093405916726,1.0010257581205548,1.000947676604412,1.0008563337624463,1.0009132234243583
0.1723310905613502,1.0008708478900994,1.0010045932123137,1.0010596370077114,1.0008871903845586,1.0008877974697181,0.9647212908049009,1.0009312942850686,1.0012679240055657,1.0009923637776867,1.0009166177461606,1.000827784211324,1.0008829322048363
0.17969891485325887,1.0008433600809725,1.000971430574472,1.00102406290479,1.0008576728968224,1.000857720100392,0.9657868815765706,1.0008998274926777,1.001226618289774,1.0009590678400901,1.000885663465425,1.0007993511747164,1.0008527565406422
0.1873817422860382,1.0008160037969498,1.0009383964860359,1.0009886385185314,1.0008282883883326,1.0008277770732392,0.9668529556249167,1.000868496659929,1.0011854476326478,1.000925902989061,1.0008548474829806,1.0007710513315298,1.0008227231471951
0.195393040468961,1.0007887973898,1.000905520472876,1.0009533928874423,1.000799047706196,1.000797991487054,0.967917879603439,1.0008373322591386,1.0011444531163394,1.0008928963415027,1.0008241916852891,1.0007429229633777,1.0007928571335327
0.20374685280397056,1.0007617676615355,1.0008728324890377,1.000918360153944,1.000769989055718,1.0007683913373109,0.9689794890772573,1.0008063605164303,1.0011036611093784,1.0008600820569873,1.000793719566881,1.0007149823553703,1.00076318842008
0.21245782310305622,1.0007349489161763,1.0008403593749244,1.0008835719046136,1.0007411312602705,1.000738998728036,0.9700375110213869,1.0007756100085008,1.0010631126753262,1.000827483052536,1.000763466194697,1.0006872640302227,1.0007337451731826
0.22154122125811807,1.000708360661256,1.0008081319379112,1.0008490545667446,1.0007125025781174,1.0007098453013135,0.9710929202141584,1.0007451077361018,1.0010228458299544,1.0007951349214639,1.0007334591288688,1.0006597806112227,1.0007045413793836
0.23101297000831555,1.000682020425869,1.0007761787292313,1.0008148448505767,1.0006841282513028,1.0006809537654597,0.9721425948877831,1.0007148801983305,1.0009828986076263,1.0007630624683603,1.000703716768298,1.0006325602749073,1.0006756183122625
0.2408896728518301,1.0006558608504101,1.0007445384790397,1.0007809841454156,1.000656048109723,1.000652363127323,0.9731852119097639,1.0006849656027095,1.0009433222859392,1.0007313097410362,1.000674282139907,1.00060564810321,1.0006470007437953
0.25118864315095774,1.0006298141630658,1.0007132566879922,1.0007475150410234,1.0006283034981127,1.0006241134325171,0.9742237950970358,1.0006554063710966,1.00090414978144,1.0006999210283736,1.000645190099088,1.0005790781163149,1.0006187491314633
0.2619279344815623,1.0006038598723015,1.000682376301904,1.0007144817431917,1.0006009245633736,1.0005962497855159,0.9752535068787185,1.0006262430607162,1.0008654540049768,1.000668938034491,1.000616483118191,1.000552888570402,1.0005908915959374
