,delta_dom,delta_int,welfare
USA,0.01,0.01,-8.191243172856957
EUR,0.01,12.0,7.598357238883381
JAP,0.01,0.01,-8.210808421547867
CHN,0.01,12.0,7.91263194100749
BRA,0.01,12.0,7.539459088120836
IND,0.01,12.0,7.283392524796881
CAN,0.01,0.01,-4.889545448488676
KOR,0.01,0.01,-5.019653935602307
RUS,0.01,12.0,7.215257394188782
MEX,0.01,12.0,7.910939686868474
ZAF,0.01,12.0,7.432562605567398
ROW,0.01,12.0,6.778315027343524
Negishi,,,3.3792827680954076
Equal,,,6.890812891291304
