,delta_dom,delta_int,welfare
USA,0.01,0.01,-7.96716197600837
EUR,0.01,0.01,-5.066872784049906
JAP,0.01,0.01,-7.234604017141649
CHN,0.01,12.0,9.313717647291412
BRA,0.01,12.0,8.930991008897848
IND,12.0,12.0,8.79013316972295
CAN,0.01,0.01,-3.627276311909071
KOR,0.01,0.01,-3.6958775299497404
RUS,0.01,12.0,8.723021999365628
MEX,0.01,0.1154155558061941,7.276600945661556
ZAF,0.01,12.0,8.935707606698855
ROW,0.0487137227474661,12.0,8.505401764311344
Negishi,,,1.8237178218320622
Equal,,,8.062911036774011
