,delta_dom,delta_int,welfare
USA,0.0382759698386505,12.0,0.5682383248208964
EUR,12.0,12.0,1.226342001227593
JAP,12.0,12.0,1.0524452858364128
CHN,12.0,12.0,0.9004111980329412
BRA,12.0,12.0,0.29057453231304464
IND,12.0,12.0,0.026400728297915066
CAN,12.0,12.0,1.9682855552073164
KOR,12.0,12.0,2.190554715713361
RUS,12.0,12.0,-0.050005190789676135
MEX,12.0,12.0,0.09204081591178692
ZAF,12.0,12.0,0.05856231480341023
ROW,12.0,12.0,-0.48429012659909176
nash,,,0.5282265698586883
Equal,,,-0.04649517601124842
