,T_pat_CHN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,3763141.958865909,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,1.1905532494693012,12.0,12.0
2,63456334.84433609,0.01,0.01,0.01,6.2870472532166675,12.0,12.0,0.01,0.01,0.48556928884156236,0.34304433307010057,0.404526305986156,12.0
3,260577657.3949965,0.01,0.01,0.01,0.31812210082463555,0.2511706617323904,12.0,0.01,0.01,0.23801410669259376,0.2082252424623007,0.18084682052552503,12.0
4,528041761.3767011,0.01,0.01,0.01,0.10535938202118798,0.6806975862232442,12.0,0.01,0.01,0.2808716630174131,0.21048423746131228,0.23390358984729614,12.0
5,370939193.3811639,0.01,0.01,0.01,0.13255394844373952,12.0,12.0,0.01,0.01,0.5473709906697922,0.24369152482038067,0.5562999897442346,12.0
6,310899446.8429516,0.01,0.01,0.01,0.2367361790189448,0.2547464476812156,12.0,0.01,0.01,0.23785483425177553,0.20741644006026153,0.18139456564836376,12.0
7,339595038.2949882,0.01,0.01,0.01,0.1409403251995144,0.5635520000084987,12.0,0.01,0.01,0.27780898267108206,0.21468787158861008,0.22901567557351193,12.0
8,324930622.68201625,0.01,0.01,0.01,0.2153398031185216,0.2604313240342363,12.0,0.01,0.01,0.23849202583005577,0.20772785123445622,0.18235668484387374,12.0
9,332181918.91328716,0.01,0.01,0.01,0.20881451225191106,0.28078601800448694,12.0,0.01,0.01,0.24127687616949883,0.20823419198382762,0.1853444345327665,12.0
10,335868026.871062,0.01,0.01,0.01,0.20430351020271875,0.30565649555528285,12.0,0.01,0.01,0.24392155470366475,0.2088133141470981,0.1889220220346284,12.0
11,337726391.39892584,0.01,0.01,0.01,0.14001851982693503,0.45091214749844266,12.0,0.01,0.01,0.26303926626819696,0.2117056352206985,0.2114074415789903,12.0
12,336795927.38250446,0.01,0.01,0.01,0.1493770894935662,0.5641220964029429,12.0,0.01,0.01,0.27862505441473623,0.2158913671512976,0.23064915187152876,12.0
13,337260838.51041454,0.01,0.01,0.01,0.14272106167840862,0.6445332226807209,12.0,0.01,0.01,0.28798250782477464,0.21630501553481657,0.2405318349554442,12.0
14,337028302.7817043,0.01,0.01,0.01,0.14193003739824536,0.5304532513044262,12.0,0.01,0.01,0.27441245114863405,0.21453494081110977,0.22521006155598813,12.0
15,336912095.0478264,0.01,0.01,0.01,0.14841998873088721,0.4803025237297449,12.0,0.01,0.01,0.26769467206499875,0.2132265512738989,0.21727110118945617,12.0
16,336970193.9053322,0.01,0.01,0.01,0.1417987942795129,0.49730533877312827,12.0,0.01,0.01,0.26985984977726785,0.21361973857247146,0.2195851226485722,12.0
17,336941143.224329,0.01,0.01,0.01,0.20271780182508758,0.3104650921834868,12.0,0.01,0.01,0.2448647718995844,0.2088340115543956,0.19003104851446842,12.0
18,336955668.2517545,0.01,0.01,0.01,0.1420507460679062,0.5283346156749931,12.0,0.01,0.01,0.27334167371558704,0.21106402305429214,0.2245746346799682,12.0
19,336948405.6597744,0.01,0.01,0.01,0.203151162742995,0.3134418097748565,12.0,0.01,0.01,0.2448736500364596,0.2086557182373464,0.1899795266991787,12.0
20,336952036.93619746,0.01,0.01,0.01,0.1390776623162638,0.5925377473227029,12.0,0.01,0.01,0.28235134811788054,0.21598843099070558,0.23486536903052124,12.0
21,336950221.2930942,0.01,0.01,0.01,0.1471855464568437,12.0,12.0,0.01,0.01,0.3594301835075369,0.23138850838772204,0.3248948723975815,12.0
22,336949313.4752114,0.01,0.01,0.01,0.2019230269721093,0.30838684423188084,12.0,0.01,0.01,0.24463916197725016,0.20871707268867704,0.18969785442578702,12.0
23,336949767.38384706,0.01,0.01,0.01,0.13857777429622795,0.5447998832265126,12.0,0.01,0.01,0.27542889610223104,0.2139912070679245,0.22646950803648483,12.0
24,336949540.4294528,0.01,0.01,0.01,0.20344023730047459,0.310583618448536,12.0,0.01,0.01,0.24467647394839281,0.20863522493594755,0.18991970410869852,12.0
25,336949653.9066308,0.01,0.01,0.01,0.1412995727245729,0.4880050658700312,12.0,0.01,0.01,0.26933250210587245,0.2139174698444725,0.21881021584979393,12.0
26,336949597.168037,0.01,0.01,0.01,0.14238646225106635,0.5211836842491288,12.0,0.01,0.01,0.27317485024106847,0.2144133915502656,0.22354203523839752,12.0
27,336949568.7987437,0.01,0.01,0.01,0.14190602462628574,0.5074325271377447,12.0,0.01,0.01,0.27104599285959985,0.21421805902178404,0.22105663187494926,12.0
28,336949554.61409795,0.01,0.01,0.01,0.1415739722608023,0.49820607785365223,12.0,0.01,0.01,0.27005837303331715,0.2133647605718603,0.2198240460196825,12.0
29,336949547.5217753,0.01,0.01,0.01,0.20238758105960022,0.3125701949217066,12.0,0.01,0.01,0.24425376621420225,0.20856784309029738,0.18958650234207186,12.0
30,336949551.0679366,0.01,0.01,0.01,0.13972172343468844,0.4812723192318946,12.0,0.01,0.01,0.2690806990680301,0.2136245367642111,0.21841928161636942,12.0
31,336949549.29485595,0.01,0.01,0.01,0.14229558577030724,0.5064171471062333,12.0,0.01,0.01,0.27137823878056355,0.21380748871075364,0.22175671814686365,12.0
32,336949548.40831566,0.01,0.01,0.01,0.14155673165389296,0.4990007321360196,12.0,0.01,0.01,0.2704811755169557,0.21416457035091396,0.22068878843279674,12.0
33,336949547.96504545,0.01,0.01,0.01,0.14150484236794666,0.5005539563829703,12.0,0.01,0.01,0.27083142995557685,0.21390706812838536,0.21964410238425697,12.0
34,336949547.74341035,0.01,0.01,0.01,0.15128451287671474,0.5541509986910266,12.0,0.01,0.01,0.27661047030733177,0.21475233260271087,0.22851631201310385,12.0
35,336949547.8542279,0.01,0.01,0.01,0.14186129961085708,0.5063989878311749,12.0,0.01,0.01,0.27165080862714525,0.21443564829934142,0.22209906567690704,12.0
36,336949547.7988191,0.01,0.01,0.01,0.1416901081660009,0.5863946675149381,12.0,0.01,0.01,0.28212504618096956,0.21694668938500877,0.23437653507950865,12.0
37,336949547.77111477,0.01,0.01,0.01,0.14194205947344116,0.5216933139847674,12.0,0.01,0.01,0.2736839037532573,0.2142528895685566,0.22300209759630146,12.0
38,336949547.7572625,0.01,0.01,0.01,0.20261455625892136,0.3119466521222187,12.0,0.01,0.01,0.24469508422975894,0.20851310468907877,0.1896842609359235,12.0
39,336949547.76418865,0.01,0.01,0.01,0.14058664737250987,0.5465660174970829,12.0,0.01,0.01,0.2759481119271317,0.21345133718788994,0.22665082498147468,12.0
40,336949547.76072556,0.01,0.01,0.01,0.14192662881464652,0.5008812504187692,12.0,0.01,0.01,0.2701674685275086,0.2127079031257353,0.22018112883428903,12.0
41,336949547.75899404,0.01,0.01,0.01,0.14131395435373212,0.47375120098607465,12.0,0.01,0.01,0.2669785076279383,0.21101113792102202,0.21626861308691162,12.0
42,336949547.7581283,0.01,0.01,0.01,0.1419080973265127,0.5024479407355299,12.0,0.01,0.01,0.2713241192136918,0.21452515828482213,0.22153017581128095,12.0
43,336949547.7576954,0.01,0.01,0.01,0.14235848942843593,0.5204887177133405,12.0,0.01,0.01,0.27171493090886173,0.2129510230959035,0.2211713678660055,12.0
44,336949547.75747895,0.01,0.01,0.01,0.14239287734496356,0.4306615245599396,12.0,0.01,0.01,0.26163153306715975,0.21179520579775749,0.20966238322101827,12.0
45,336949547.75737077,0.01,0.01,0.01,0.20287871954569006,0.3112104362876962,12.0,0.01,0.01,0.24502241867125724,0.20862293598280418,0.18994861668517288,12.0
46,336949547.75742483,0.01,0.01,0.01,0.1527837689306878,0.5297732408328769,12.0,0.01,0.01,0.2735379882534802,0.21484712746716406,0.22460754796453014,12.0
47,336949547.7574519,0.01,0.01,0.01,0.14227199562766685,0.5054748828910013,12.0,0.01,0.01,0.27117324649307495,0.2139644460732297,0.2212109116518006,12.0
48,336949547.75743836,0.01,0.01,0.01,0.14152925131082478,0.4662821613290247,12.0,0.01,0.01,0.2671098735169792,0.2146013038493799,0.21583971298728585,12.0
49,336949547.7574316,0.01,0.01,0.01,0.14172010602716548,0.5230527126122729,12.0,0.01,0.01,0.27391425989748147,0.21536373653121,0.22421260218303762,12.0
50,336949547.7574282,0.01,0.01,0.01,0.1398440381131325,0.541169078912112,12.0,0.01,0.01,0.2751062998993502,0.214594518318905,0.22690974423067975,12.0
51,336949547.7574265,0.01,0.01,0.01,0.13446726698927014,0.5144667760715155,12.0,0.01,0.01,0.28796716597832933,0.21847860924870185,0.2382196540647339,12.0
52,336949547.75742567,0.01,0.01,0.01,0.1457373024314926,0.5616657964746831,12.0,0.01,0.01,0.27768715884052053,0.21470466900919952,0.2277181386923097,12.0
53,336949547.75742525,0.01,0.01,0.01,0.20198682873452903,0.30813688005261397,12.0,0.01,0.01,0.24447801910973838,0.20800949540406952,0.18957360015233043,12.0
54,336949547.7574254,0.01,0.01,0.01,0.20000224765431152,0.2920071609193824,12.0,0.01,0.01,0.24241397368029194,0.20835877369610353,0.18721636625017157,12.0
55,336949547.75742555,0.01,0.01,0.01,0.20000224765431152,0.2920071609193824,12.0,0.01,0.01,0.24241397368029194,0.20835877369610353,0.18721636625017157,12.0
56,336949547.7574256,0.01,0.01,0.01,0.20000224765431152,0.2920071609193824,12.0,0.01,0.01,0.24241397368029194,0.20835877369610353,0.18721636625017157,12.0
57,336949547.75742567,0.01,0.01,0.01,0.1457373024314926,0.5616657964746831,12.0,0.01,0.01,0.27768715884052053,0.21470466900919952,0.2277181386923097,12.0
58,336949547.75742567,0.01,0.01,0.01,0.1457373024314926,0.5616657964746831,12.0,0.01,0.01,0.27768715884052053,0.21470466900919952,0.2277181386923097,12.0
