,T_pat_EUR,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,11.156701117523589,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05593699769632337,12.0,12.0
2,0.23512165532530324,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.5658226293545262,0.053060333346725747,0.6089025723466184,12.0
3,0.03413273166970484,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05877412418173791,12.0,12.0
4,0.013004996947232533,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05361946736879434,12.0,12.0
5,0.008027491577579206,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.057691496996698205,12.0,12.0
6,0.0063068813469869655,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.063721186578189,12.0,12.0
7,0.005590260700395348,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.06209896108411948,12.0,12.0
8,0.005263089581406146,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.06957815404366179,12.0,12.0
9,0.0051067560528144365,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05928893663109965,12.0,12.0
10,0.005030339391811991,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05998427684719125,12.0,12.0
11,0.004992560944189915,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.05591632583296629,12.0,12.0
