,T_pat_CAN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,543031.0513260777,0.01,0.01,0.01,12.0,0.9397192369163249,12.0,0.01,0.01,0.42497140996882604,0.07024929804895386,0.40229747262899257,12.0
2,12233.122157222526,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45501445014678715,0.07369109170396698,0.42746785133522874,12.0
3,1836.0886113676288,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4606147117256283,0.07552501587479048,0.43274450533870845,12.0
4,711.3311035214516,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4580075914408348,0.07641755421527238,0.43035758338457875,12.0
5,442.7523551865775,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4614430351913878,0.07481723924796473,0.43489977256717455,12.0
6,349.3054973574169,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4688445580660006,0.06767159364387489,0.44292757231627666,12.0
7,310.2613593034105,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45858038698536985,0.0749269475810334,0.43177760742545696,12.0
8,292.4077143086791,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4553047243584989,0.07786817908839684,0.42846700929502807,12.0
9,283.86993189761523,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45681450923214617,0.07602554660333628,0.4298928287775564,12.0
10,279.6949836624484,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.46508992771914853,0.06941091777037417,0.43884052681353597,12.0
11,277.63059206424043,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.458967557499853,0.07485695311008571,0.4325127112267359,12.0
