,T_pat_RUS,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,1957960.1283220232,0.01,0.010000072743631974,0.010000072743631974,3.2752779690829565,0.9984975287929689,4.048279891766472,0.01,0.010000072743631974,0.010000072743631974,0.07392014206988969,0.44303966117288945,1.7200789322872392
2,83754.10114615744,0.01,0.01,0.01,2.619209452467949,0.8259143807367509,3.278733879082946,0.01,0.01,0.17307421630330794,0.07795498288280359,0.38417564721253544,1.692487315144699
3,17322.365636789225,0.010000064000237766,0.01,0.01,3.269088144061466,1.0042889781556164,4.087868755509586,0.01,0.01,0.3461854286532671,0.0765275997360298,0.43018838349211397,1.7020772202570875
4,38089.62015607883,0.010000224210413473,0.01,0.010000224210413473,3.204076229550683,0.9882944632007655,4.003112694116977,0.010000224210413473,0.010000224210413473,0.27027359974833204,0.07258736502710425,0.4295006299386047,1.7071966939132766
5,56481.51820879945,0.01,0.010000286041441783,0.010000286041441783,2.9481327509093833,0.9171971821681096,3.6848705027445714,0.010000286041441783,0.010000286041441783,0.22488841006835264,0.08007042600658258,0.40859486174274107,1.6945356607797515
6,46382.750828425655,0.01,0.01,0.010000119864434174,3.131578685862005,0.9683615184375763,3.9119357316531325,0.01,0.01,0.24771229649849177,0.07461502114395144,0.4234587930359496,1.7043689579254973
7,51183.6710825819,0.01,0.01,0.01,3.021625396728317,0.9373260595998981,3.7762618204052267,0.01,0.01,0.23581651286680896,0.07840973690376576,0.4138146104823599,1.697517630702394
8,53767.382772867524,0.01000012803677825,0.01000012803677825,0.01,2.873599756863849,0.8971780381564005,3.5946226124246214,0.01000012803677825,0.01000012803677825,0.22954430959167466,0.08531195259156679,0.4014024195331312,1.6879027956444002
9,55107.74364030165,0.01,0.01,0.010000064294424337,2.9852777160682766,0.9276413304214048,3.73135643811108,0.010000064294424337,0.010000064294424337,0.22715309887491675,0.07750932897104462,0.41223088260280677,1.699440541093381
10,54433.437757109874,0.010000045281963039,0.010000045281963039,0.010000045281963039,2.8316905230985134,0.8852905066963103,3.5429719272334212,0.010000045281963039,0.010000045281963039,0.22805976327687097,0.08627384909166252,0.397390962059091,1.6847269471655515
11,54099.3852416974,0.010000199220626917,0.010000199220626917,0.010000199220626917,2.9708307723310776,0.9242795967727778,3.713937995673174,0.010000199220626917,0.010000199220626917,0.22888598150881365,0.0798629460429033,0.41036813566542346,1.6958191687915973
