,T_pat_IND,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,364077.9850556357,0.01,0.01,0.01,7.437095146446173,9.123480665405827,7.437095146446173,0.01,0.01,3.650242988463838,1.4103641977387655,3.763238107167712,7.913287403738405
2,19737715.86649419,0.01,0.01,0.010000362371035593,10.471159814156564,9.177899636329725,8.835588775674212,0.01,0.010000228074451386,12.0,5.73632023188798,11.999999637628964,9.405183169039686
3,145327609.45286912,0.01,0.01,0.01,12.0,2.6812025334286873,4.992781782927984,0.01,0.01,0.9718954835748429,0.32169656821937476,0.6737854218875212,2.51615784699763
4,394342647.8345614,0.010000083653639084,0.01000000250275277,0.010000083653639084,3.910951219853156,0.92467590735339,1.8111608811762696,0.010000083653639084,0.010000083653639084,0.4398154978179962,0.09982286447484984,0.30019812381538924,1.5741239942763299
5,649585852.0736055,0.01,0.01,0.01,2.6509282094800453,0.6701490302833237,1.340584079057944,0.010000337910141387,0.01,0.4204705301069554,0.08125765231028832,0.30252030546314146,1.6102323365544426
6,833715665.6845596,0.010000020555850303,0.010000012545739814,0.01000001692544139,2.661282862274886,0.6947882723366685,1.4208718613039963,0.010000020276028353,0.010000002084715775,0.3669667474868856,0.09993424665197169,0.2562757757505352,1.54940480631567
7,944514575.7927287,0.01,0.010000158744971436,0.01,2.7050018379719476,0.6921027562640397,1.4269360445106647,0.010000201238160871,0.01,0.3690736341272021,0.08425175786861833,0.2572797614059199,1.5488132682512155
8,1005319289.2303302,0.010000059371025175,0.01000001510077454,0.010000059371025175,2.4143073692387307,0.6275284411202087,1.290040155174018,0.01,0.010000059371025175,0.3496125777571493,0.08701584944915455,0.245004332077216,1.5440100277186133
9,1037174166.7061327,0.01,0.01,0.01,2.54975133685756,0.6611503425137705,1.364403712724607,0.01,0.01,0.3582707851392309,0.08285742620631571,0.2504639681654588,1.5466933375062286
10,1053478141.4312304,0.010000023481505044,0.01,0.010000033656794974,2.571492489189817,0.6656808971003232,1.376897602633684,0.010000033249943504,0.01000000820140899,0.3604262936078318,0.08258175074154014,0.25159455163951255,1.5471296727590067
11,1061725988.0200855,0.01,0.01,0.01,2.3954927866401614,0.6295473602286624,1.294018807130359,0.010000272172313508,0.01,0.34884327210462857,0.08697434248391252,0.24447589150403526,1.5421192551130174
