,T_pat_USA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,14.563119402225428,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
2,0.26862840685063666,0.01,0.01,0.01,12.0,0.6809947735553992,12.0,0.01,0.01,0.2893636176176799,0.032892635767794796,0.29699996037915793,12.0
3,0.03648385319244093,0.01,0.01,0.01,12.0,0.6011410670415933,12.0,0.01,0.01,0.277636898454209,0.03900047987304982,0.27408209499012365,12.0
4,0.013445441920122377,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.41547603202184696,0.03813576134359828,0.5332751335912127,12.0
5,0.008162294716181838,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.8027672776355264,0.08266638091154284,12.0,12.0
6,0.006359615617553896,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.36564115501721756,0.038883896069479236,0.43850830541773017,12.0
7,0.005613583214040736,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.544554858902899,0.04487434494542683,0.7841197354687347,12.0
8,0.0052740569338385525,0.01,0.01,0.01,12.0,0.9014926942870066,12.0,0.01,0.01,0.3265681860931261,0.045613504010140374,0.36628399382206694,12.0
9,0.00511207407423708,0.01,0.01,0.01,12.0,0.5801355892623365,12.0,0.01,0.01,0.2759172528389646,0.04406408531458579,0.2697131276418355,12.0
10,0.005032957931982856,0.01,0.01,0.01,12.0,0.5772834481526211,12.0,0.01,0.01,0.2759762972860889,0.04236059377682137,0.2692253150890641,12.0
11,0.004993860212439825,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6007921362976676,0.04341752211546449,0.8969337016585339,12.0
