,T_pat_MEX,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,2535658.6558033144,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
2,123434.48258004259,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
3,27233.869783262457,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
4,12792.216013446765,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.03609196750176277,12.0,12.0
5,8767.262266451227,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.06824485156007491,12.0,12.0
6,7258.102637790584,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.09600978476215304,12.0,12.0
7,6603.93300476528,0.01,0.01,0.01,12.0,0.859420495324674,12.0,0.01,0.01,0.41559212634936765,0.06847146081726851,0.3818910191992467,12.0
8,6299.3020845496185,0.01,0.01,0.01,12.0,0.9331734017738763,12.0,0.01,0.01,0.4327939517107974,0.07699249439301692,0.4028245295077627,12.0
9,6152.2974420063065,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45569488544795017,0.06921376569529873,0.4282867904242943,12.0
10,6080.086642468436,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.46093399788488887,0.06860288556897912,0.4341572021446256,12.0
11,6044.299699657887,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4633430860504045,0.06884075990784502,0.4368682500875398,12.0
