,T_pat_JAP,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,11.648086229985475,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.054617408045329635,12.0,12.0
2,0.2402437066258111,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.07139727674695368,12.0,12.0
3,0.03450251403300948,0.01,0.01,0.01,12.0,0.8851072821179626,12.0,0.01,0.01,0.3679380544679258,0.05892728230189924,0.3556562649528429,12.0
4,0.013075253025989865,0.01,0.01,0.01,12.0,0.9023152356051872,12.0,0.01,0.01,0.370843072703364,0.0628498506357097,0.35956936526218075,12.0
5,0.008049145578911399,0.01,0.01,0.01,12.0,0.9108238406854373,12.0,0.01,0.01,0.37224238198792087,0.06288571263463948,0.3615755619341026,12.0
6,0.0063153819627509945,0.01,0.01,0.01,12.0,0.907161573380151,12.0,0.01,0.01,0.3710594098496438,0.06509590617603105,0.36022860867164597,12.0
9,0.0055940267976103296,0.01,0.01,0.01,12.0,0.9318170407975076,12.0,0.01,0.01,0.37642936091569784,0.059379857476185044,0.3668259853003816,12.0
10,0.005264862125733834,0.01,0.01,0.01,12.0,0.9185237798960163,12.0,0.01,0.01,0.37371351199287045,0.06231618728840446,0.3633533280121983,12.0
11,0.005107615926973515,0.01,0.01,0.01,12.0,0.9320645540688323,12.0,0.01,0.01,0.37625152378319293,0.06022994241591693,0.36672404126181324,12.0
12,0.00503076287755765,0.01,0.01,0.01,12.0,0.9051107559975938,12.0,0.01,0.01,0.3706878353537199,0.06605986184888153,0.3596386306638789,12.0
13,0.004992771092425755,0.01,0.01,0.01,12.0,0.91639580467333,12.0,0.01,0.01,0.37299051139134465,0.06412179606531353,0.3625035021396076,12.0
