,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,0.0799963631669843,0.0811307344405509,0.0825500857345306,0.0286568187444017,0.088336279217129,0.0968835653086344,0.0809408758578328,0.0826810726198224,0.0819698709998947,
1,-40,0.0801277810179297,0.0813233580833769,0.082384020873111,0.0385442122920701,0.0870506299736394,0.0924293570526532,0.0809420675924148,0.0821007529239866,0.0819363539626613,
2,-30,0.0804227055244918,0.0814918297750289,0.0822450629167294,0.0487276296351098,0.0857675727947896,0.0889687067155599,0.0811759721029819,0.0818738827203681,0.0819271302746326,
3,-20,0.080828948909738,0.0816460179407697,0.0821191328682123,0.0592907699427629,0.0844861174502584,0.0860738387585226,0.0814161163545874,0.0818237228109403,0.0819104732451675,
4,-10,0.0813346215839787,0.0817858763288664,0.0820149033954204,0.0703301574205285,0.0831961149214353,0.0838170703971507,0.0816676474412732,0.0818470331080181,0.0819136267394739,
5,0,0.0819158961536243,0.0819158961536243,0.0819158961536243,0.0819158961536243,0.0819158961536243,0.0819159420560008,0.0819158961536243,0.0819158961536243,0.0819162038321352,
6,10,0.0826239263369977,0.0820336031209394,0.0818279045206862,0.094167110985059,0.0806293194474803,0.0803028269891911,0.0821737129556557,0.0820036256426295,0.0819324140273397,0.09
7,20,0.0832532791929353,0.0821462723351831,0.0817461534186316,0.1072401105255952,0.079340050576164,0.0788941041822105,0.0824408570079463,0.0820982625701326,0.0819565165637212,
8,30,0.0840071775583958,0.0822519750030171,0.081672953018555,0.1212364289399329,0.0780584713022438,0.0776441141774989,0.082710267866398,0.0821862401489067,0.0819908418484556,
9,40,0.084756601176666,0.0823501682635639,0.0816046712168787,0.1363289960955616,0.076767575405218,0.076544657101285,0.082981679956801,0.0822735076249208,0.0820300460735302,
10,50,0.0855772715968564,0.0824440270332343,0.0815407645926487,0.1527211924059408,0.0754730567246039,0.0753677462325481,0.0832973143333285,0.0823578118644465,0.0820866605028105,
11,-100,,,,,,,,,,0.0
12,-94,,,,,,,,,,0.005
13,-88,,,,,,,,,,0.01
14,-82,,,,,,,,,,0.015
15,-76,,,,,,,,,,0.02
16,-69,,,,,,,,,,0.025
17,-63,,,,,,,,,,0.03
18,-57,,,,,,,,,,0.035
19,-51,,,,,,,,,,0.04
20,-45,,,,,,,,,,0.045
21,-39,,,,,,,,,,0.05
22,-33,,,,,,,,,,0.055
23,-27,,,,,,,,,,0.06
24,-21,,,,,,,,,,0.065
25,-15,,,,,,,,,,0.07
26,-8,,,,,,,,,,0.075
27,-2,,,,,,,,,,0.08
28,4,,,,,,,,,,0.085
29,16,,,,,,,,,,0.095
30,22,,,,,,,,,,0.1
