,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,4.843532635568181,3.075201639045597,2.6774524055472635,2.947427741812795,2.9501232885224677,2.8394216609195935,3.136194870223866,2.9592984023356923,2.9485117971650023,
1,-40,4.291960289519248,3.045992933934343,2.7500304905991366,2.958615665674032,2.9523575683787344,2.868009674464117,3.1085057406121366,2.9674098530673287,2.9513799935026275,
2,-30,3.8580391768226026,3.0207900597954604,2.8124424301763695,2.9624015799975543,2.954650326546566,2.893884519148962,3.07355599800428,2.9683751827946283,2.953554362638942,
3,-20,3.5053905324113197,2.998330855244692,2.867036515316333,2.9628532485806476,2.9564641530391325,2.919970099453829,3.036860592447917,2.9662156702207993,2.9558958732777296,
4,-10,3.210584929379109,2.978238429011423,2.9159703142892828,2.961344140567372,2.958522837781455,2.9408431100265715,2.998859831317191,2.9633720681133253,2.9579465933024345,
5,0,2.960014905842309,2.960014905842309,2.960014905842309,2.960014905842309,2.960014905842309,2.9600148961205623,2.960014905842309,2.960014905842309,2.9600127921497816,
6,10,2.738921451457749,2.9433191209684635,3.000260457302772,2.95855726980248,2.961587161431136,2.9777453933912827,2.920278755812598,2.9566610114736327,2.9617587171928808,2.9366250832025353
7,20,2.5544732335038085,2.9280534279173276,3.037361664686369,2.9561032615055836,2.963090997815685,2.9945258917219424,2.8802680824713582,2.953674162445136,2.9632999432802456,
8,30,2.3873733783590385,2.9138109518782174,3.0717366641167767,2.9542537482235427,2.964245217659703,3.0103238203092437,2.840198074725981,2.9509458338631664,2.9643086463247528,
9,40,2.238586165552722,2.9005387373935423,3.103776848687234,2.952689724519693,2.965321500994569,3.0252311287805442,2.8004470373545445,2.948413834121256,2.9656962310193515,
10,50,2.104679719934684,2.8881103492905593,3.1338105704822112,2.9514060403854545,2.966394299949465,3.0446562433476894,2.7597124051612423,2.9460923075549497,2.966337871128573,
11,-100,,,,,,,,,,2.802179987201908
12,-94,,,,,,,,,,2.860695451205016
13,-88,,,,,,,,,,2.905287081506442
14,-82,,,,,,,,,,2.9402082243431162
15,-76,,,,,,,,,,2.967452990842067
16,-69,,,,,,,,,,2.988357393245172
17,-63,,,,,,,,,,3.004433796198449
18,-57,,,,,,,,,,3.0155169227355154
19,-51,,,,,,,,,,3.0222197770749117
20,-45,,,,,,,,,,3.025106011966008
21,-39,,,,,,,,,,3.0241929311690403
22,-33,,,,,,,,,,3.0200928894759493
23,-27,,,,,,,,,,3.013085525613253
24,-21,,,,,,,,,,3.003605608052561
25,-15,,,,,,,,,,2.992126791973638
26,-8,,,,,,,,,,2.979355024166653
27,-2,,,,,,,,,,2.9655041836490605
28,4,,,,,,,,,,2.951129548815189
29,16,,,,,,,,,,2.9222958492186506
30,22,,,,,,,,,,2.908360218580067
