,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,1.296242488007912,1.1497190460916225,1.2178546890303985,1.2326840330129003,1.2146986830262363,1.2099159222251694,1.2605777327631358,1.108350647889793,1.230925211253684,1.2145155104518277,
1,-40,1.274297969484098,1.1660776457459658,1.2178463597622315,1.2276886917386656,1.2153060378064056,1.2121731765281287,1.2343458118243786,1.1259039474512045,1.2265593142782312,1.2150485424839723,
2,-30,1.25642785344742,1.1806786873118291,1.2177741208600967,1.224114524218335,1.2158157206649876,1.214057856375042,1.232575508420006,1.1460644816821877,1.2233388050213152,1.2158335440459604,
3,-20,1.2413787383106911,1.1940662880089632,1.2178353624779292,1.221441113510653,1.216528292152248,1.2148348998154277,1.223316373603413,1.1681405919280987,1.2210466209070276,1.2164981403251434,
4,-10,1.2288169641601785,1.2063695830606045,1.2177483823282975,1.2195475474188462,1.2170660834903988,1.2164239323556585,1.2203247966221695,1.1920674306548689,1.219165941681007,1.2171904365143151,
5,0,1.2177861710644209,1.2177861710644209,1.2177861710644209,1.2177861710644209,1.2177861710644209,1.2177861005064785,1.2184446323201912,1.2177861710644209,1.2177861710644209,1.2177871457505764,
6,10,1.211185680096456,1.2285024782788327,1.2178052216389,1.2162506946769327,1.2184171199961944,1.2188484573314846,1.2170117123376096,1.2454535445860473,1.216714084422704,1.2184493119005877,1.2159794603442653
7,20,1.199320458873145,1.238497599790112,1.2177911317926446,1.215455723738545,1.2190204134469649,1.2195674066370554,1.2159444526425625,1.2748229833391178,1.2157483869743098,1.2191336992829689,
8,30,1.1914460895040997,1.248008405720049,1.217783602365604,1.214628194483497,1.2196787377953038,1.2201166936706591,1.2150074963120352,1.3059473125612626,1.214956251480816,1.2200331970829743,
9,40,1.1842525870563934,1.257037043652302,1.217801737672546,1.2139398815028353,1.2203724020425362,1.2204072683786555,1.2088507684666252,1.338686785748458,1.2143033029783263,1.220569975069114,
10,50,1.177861177394352,1.2656615306054964,1.2178096460940933,1.213373952487269,1.220990307347383,1.2193025797116086,1.2058280029111124,1.3738772453740975,1.2137473383209734,1.2214075015320534,
11,-100,,,,,,,,,,,1.3148218323769043
12,-94,,,,,,,,,,,1.301037350020306
13,-88,,,,,,,,,,,1.2888098855971428
14,-82,,,,,,,,,,,1.2778162958795374
15,-76,,,,,,,,,,,1.2681094504030177
16,-69,,,,,,,,,,,1.2596117090832275
17,-63,,,,,,,,,,,1.252027761615652
18,-57,,,,,,,,,,,1.2455451497089682
19,-51,,,,,,,,,,,1.2400172911954417
20,-45,,,,,,,,,,,1.235292153702058
21,-39,,,,,,,,,,,1.2313746245313988
22,-33,,,,,,,,,,,1.228083405500188
23,-27,,,,,,,,,,,1.2253609390696518
24,-21,,,,,,,,,,,1.2231112883921484
25,-15,,,,,,,,,,,1.2212499757151722
26,-8,,,,,,,,,,,1.219620408603422
27,-2,,,,,,,,,,,1.218249518382947
28,4,,,,,,,,,,,1.2170633502106465
29,16,,,,,,,,,,,1.214990406991754
30,22,,,,,,,,,,,1.2140749456905895
