,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,ERDUS_target,kappa,gamma,rho,zeta
0,-50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
1,-40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
2,-30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
3,-20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
4,-10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
5,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
6,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
8,30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
9,40,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
10,50,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
11,-100,,,,,,,,,,,10.0
12,-94,,,,,,,,,,,10.0
13,-88,,,,,,,,,,,10.0
14,-82,,,,,,,,,,,10.0
15,-76,,,,,,,,,,,10.0
16,-69,,,,,,,,,,,10.0
17,-63,,,,,,,,,,,10.0
18,-57,,,,,,,,,,,10.0
19,-51,,,,,,,,,,,10.0
20,-45,,,,,,,,,,,10.0
21,-39,,,,,,,,,,,10.0
22,-33,,,,,,,,,,,10.0
23,-27,,,,,,,,,,,10.0
24,-21,,,,,,,,,,,10.0
25,-15,,,,,,,,,,,10.0
26,-8,,,,,,,,,,,10.0
27,-2,,,,,,,,,,,10.0
28,4,,,,,,,,,,,10.0
29,16,,,,,,,,,,,10.0
30,22,,,,,,,,,,,10.0
