,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,zeta
0,-50,0.0124197379503383,0.0258176993404209,0.0503287135609294,0.0481738231123768,0.0254981149580192,0.0205607167946922,0.0254863733163233,0.024079460636974,0.0255134993628653,
1,-40,0.0150045644516916,0.0256915168155227,0.0420021687018418,0.0412524353805893,0.0254635429250192,0.0217458646037779,0.0255915810384451,0.0245447947677322,0.025478460494866,
2,-30,0.0175862918184889,0.0255810480191301,0.0360432009203246,0.0359372285679953,0.0254274632953201,0.0227808950839658,0.0255331512024771,0.0248497547994268,0.0254327797841745,
3,-20,0.0201685136823818,0.0254801669862167,0.0315733801242653,0.0316991168625895,0.0253878483313744,0.0237671255530642,0.0254648933197295,0.0250522917969576,0.0253945516238201,
4,-10,0.0227401611984161,0.0253881597796998,0.0280901977875829,0.0282117459513924,0.025350162869085,0.0245709284315955,0.0253869705441172,0.025199188699962,0.025348263566635,
5,0,0.0253027812115772,0.0253027812115772,0.0253027812115772,0.0253027812115772,0.0253027812115772,0.0253027733517604,0.0253027812115772,0.0253027812115772,0.0253027666693057,
6,10,0.027798333674336,0.0252253045577849,0.0230204122782065,0.0228126278905993,0.0252568641656997,0.0259676007884699,0.0252093299194878,0.025379749999239,0.0252530891602786,0.0236913727849268
7,20,0.0303928405351978,0.0251515533643809,0.0211167095125251,0.0206378848571409,0.0252101709563589,0.0265862496035107,0.0251058807446128,0.0254363639905894,0.0252016090804108,
8,30,0.0329230909342054,0.0250826580943331,0.019504701263528,0.0187285164957056,0.0251557375784516,0.0271688904437907,0.0249951000194894,0.025483889221737,0.0251473852817164,
9,40,0.0354396496551884,0.0250183618072427,0.0181226560517593,0.0170298432954081,0.0251066772809193,0.027711323538834,0.024880096316984,0.025521665690474,0.0250920397007339,
10,50,0.0379234517660079,0.0249582817003607,0.0169239451567928,0.0155025481253305,0.0250567129461449,0.0283776922881907,0.0247319841899159,0.0255510249283457,0.0250300923544175,
11,-100,,,,,,,,,,0.0555634645735613
12,-94,,,,,,,,,,0.0514538223784688
13,-88,,,,,,,,,,0.0480422086419881
14,-82,,,,,,,,,,0.0451691381890843
15,-76,,,,,,,,,,0.0426997862193816
16,-69,,,,,,,,,,0.040542190067088
17,-63,,,,,,,,,,0.0386443210790586
18,-57,,,,,,,,,,0.036933911666554
19,-51,,,,,,,,,,0.0353744458260508
20,-45,,,,,,,,,,0.0339386466248335
21,-39,,,,,,,,,,0.0325938732621965
22,-33,,,,,,,,,,0.0313252987343444
23,-27,,,,,,,,,,0.0301157310247717
24,-21,,,,,,,,,,0.0289538149931272
25,-15,,,,,,,,,,0.0278319147783278
26,-8,,,,,,,,,,0.02674898491923
27,-2,,,,,,,,,,0.0256972514417565
28,4,,,,,,,,,,0.0246783358799406
29,16,,,,,,,,,,0.0227372368016201
30,22,,,,,,,,,,0.0218164222513877
