moments,weights
GPDIFF,1.0
GROWTH,1.0
KM,5.0
OUT,4.0
RD,3.0
RP,3.0
SRDUS,1.0
SRGDP,1.0
JUPCOST,1.0
SINNOVPATUS,1.1
TO,3.0
SPFLOW,1.0
DOMPATUS,1.0
DOMPATEU,1.0
