year,HS_digits,A1,A2,A3,B
89,10,0.08733860293528739,0.05249299928228801,0.023206233744815022,0.041183661341580004
89,9,0.10899111999549181,0.07153588097036427,0.03996575628674237,0.05914981087244285
89,8,0.09571692263423308,0.054950959583663465,0.025723344638786925,0.03952431403213759
89,7,0.11405169901112637,0.07095653153369283,0.028458676618863206,0.0518795216093935
89,6,0.12444579831118019,0.05700677607968421,0.024083375328751412,0.03949569480388975
90,10,0.10004683954223242,0.05120391679526666,0.020160378570573,0.04397463523617002
90,9,0.08892730215051445,0.04629271303427746,0.020753025541386264,0.03786312213615021
90,8,0.08401179794321688,0.04854270816388038,0.02100830184833372,0.032633468422760784
90,7,0.11069492695261679,0.061509211109014236,0.02243312177025493,0.03447671675535287
90,6,0.12700625413562366,0.046595642633957865,0.018426922692171756,0.027059730082392694
91,10,0.09159466955627839,0.05512426884353001,0.02479858598397876,0.03771274104192751
91,9,0.07161213508642442,0.042314979536142966,0.021517218896739045,0.029497350275835513
91,8,0.08574618614178442,0.042771474184495534,0.01638756381246339,0.031724718561234905
91,7,0.09068499349756323,0.046221257291848214,0.018000206009211418,0.033803765605278355
91,6,0.10094575404462085,0.040056325845981795,0.01811673123079414,0.02911846037843897
92,10,0.08771583186094693,0.03760012709296556,0.023343614942580374,0.03879530467090848
92,9,0.07352017910099223,0.03151617225790921,0.017337435901663895,0.025113555369606456
92,8,0.08473372390422543,0.03169016755001858,0.0150108121029447,0.02367930538685928
92,7,0.09427923970597872,0.034667756176031836,0.016495659430442615,0.025490909338635293
92,6,0.09827630384122728,0.032834478244402464,0.015545258252737433,0.02247695963397224
93,10,0.0752712032682882,0.043596653097336,0.013492677676623217,0.02827598695076487
93,9,0.060880856017320406,0.02862655663824738,0.011367124038366755,0.03813391907037932
93,8,0.057910260174502314,0.02295882248688375,0.009273061090938714,0.017457150173497846
93,7,0.07394501319262038,0.026125838726004633,0.010605879328007382,0.019981337221356817
93,6,0.0660793998096033,0.025612814353044515,0.010483298963261846,0.017766128284732854
