year,HS_digits,A1,A2,A3,B
89,10,0.08616741604080956,0.0514351910476051,0.023260794967065568,0.04097395134952313
89,9,0.10766323093064907,0.07053089227291043,0.04009771602443152,0.05914740910286102
89,8,0.09529174311991974,0.054528788250671326,0.02564898816649132,0.03931048508281625
89,7,0.11328152090343595,0.07063380634478666,0.028414477147466012,0.05174778246726755
89,6,0.12532246837016944,0.056120633506602666,0.02460942475123611,0.03982682238499381
90,10,0.09765837851444929,0.05051102523489469,0.019522369263420748,0.04334103720891109
90,9,0.08010703543121404,0.045520429986542085,0.020029333208943144,0.0400866555295347
90,8,0.08305208832206974,0.049045023958433576,0.020361454145489472,0.033298465513757695
90,7,0.10948245671281474,0.061895896814798214,0.021738229207169567,0.03516596103197208
90,6,0.1280613428807547,0.049544626595761844,0.018236116958312225,0.028315160713197902
91,10,0.09036319081813492,0.054697830896042646,0.02453284724927615,0.03761435711259384
91,9,0.07043476041983882,0.04192205956972503,0.021224985978389066,0.029312691009333113
91,8,0.08527186031291287,0.04273635459084125,0.01611138413958312,0.03186912142601496
91,7,0.09005109799354664,0.046141964952473156,0.017703108154195436,0.03392058823338545
91,6,0.09936243563540269,0.03945190021971823,0.017760038554587836,0.029334083269716395
92,10,0.08587035767561779,0.03647298815938979,0.022589969256708437,0.037530955212590845
92,9,0.07152351014794427,0.030274399684442926,0.01654854902389002,0.02381076255337796
92,8,0.08418832125564779,0.03144799324977528,0.014832339748186542,0.022636970459327267
92,7,0.09368335852415378,0.03441867037106007,0.016304164659437976,0.024454193509212498
92,6,0.09463652824535007,0.030521881186456157,0.015372728199300757,0.02267426844055119
93,10,0.07564478879714585,0.043772625535729325,0.013854129579038477,0.028550115487194123
93,9,0.06138082017983967,0.02891245402418718,0.011747774554261676,0.03842832715777093
93,8,0.055153482397406695,0.02148843533969608,0.009740995798677977,0.01621869576482788
93,7,0.07157286079117026,0.024685232909119958,0.011067929976021542,0.01870740531796729
93,6,0.064540168602499,0.02630941911052102,0.011409320313110179,0.019961766000135363
94,10,0.07982503686660054,0.040645367108857536,0.019256058535743047,0.02884239994631393
94,9,0.07489844943798077,0.032110528125924354,0.011869172393497876,0.03882411007178933
94,8,0.07164139662541119,0.03075845871071756,0.01221680714044777,0.018625562175888198
94,7,0.07266554307319319,0.03244010860666774,0.013165377227006312,0.019408579251401974
94,6,0.09043034757440116,0.030464778306078327,0.010154782685111009,0.019051742025414556
95,10,0.08984680582294058,0.034254201330584294,0.0154366724625608,0.022601089901976967
95,9,0.07657986996670298,0.03029530936415616,0.0121365435493233,0.01983913720154726
95,8,0.06666066907634717,0.02216452990266757,0.006560376436811292,0.01225919806235218
95,7,0.07195912969647539,0.021873116475328563,0.006237456979697176,0.011581044922359455
95,6,0.06804679416067835,0.025322092320834037,0.007587937339782027,0.01228935491455745
96,10,0.11484609969209092,0.04392667870446921,0.018396905056296337,0.028063240822843685
96,9,0.09356129275672834,0.03774613733019013,0.010665552549955052,0.020951874567851355
96,8,0.0847566819778722,0.030413515252463632,0.0072347853797366845,0.013844801440277393
96,7,0.08883074871364517,0.029390795324513587,0.007168190788152672,0.013254541310873662
96,6,0.08611343879552456,0.02233637051890309,0.0066588564528663975,0.01111521833206963
97,10,0.12416930655429892,0.05758019783789312,0.02654250881632736,0.03754708570803535
97,9,0.10154745867399556,0.04647270878966337,0.01809737700483235,0.028632872446106104
97,8,0.11789520186339163,0.04642564417904824,0.014114668260551444,0.023185266144990238
97,7,0.11823038982289841,0.04353873029791652,0.013436747589094402,0.022094805861483453
97,6,0.10761572280565095,0.049386063656508265,0.00752257518793027,0.0193584462083425
98,10,0.12567029930763493,0.06804944161439233,0.026642390536598216,0.03487974679722997
98,9,0.11337353542790232,0.05218245385970005,0.023441359623856354,0.03342290329926583
98,8,0.10613890404707683,0.05697369425942857,0.025267410822120476,0.03171071588137343
98,7,0.10536360519132187,0.05497885099818978,0.02651147932348331,0.03151355871249312
98,6,0.10784187816423031,0.04668574403090175,0.014712798984405542,0.01929391462459722
99,10,0.1346112962897302,0.07021173904391032,0.02384702363390951,0.041763099409290495
99,9,0.12121117161524396,0.05413569874331259,0.01825379271996866,0.03178025495364244
99,8,0.1338767304907159,0.08266587126220046,0.01939008692071243,0.028939139438767688
99,7,0.13272259850714402,0.07968548698460746,0.019090264160109015,0.02954598346031909
99,6,0.14226551846766958,0.08366384224475536,0.012177830432346336,0.022267101269617128
100,10,0.14289909326806385,0.06358360243948863,0.028973196603768507,0.04000696024871874
