issue_date,ValuePerPatent,CostPerPatent,KM_article,ValuePerPatentUpdated,CostPerPatentExtrapolated,KM_extrapolatedCost
1950,0.018204931,,,0.01702844987306901,0.48355073330458254,0.03521543594132656
1951,0.017953012,,,0.018291415485720393,0.5188672022486571,0.035252595281508245
1952,0.017565308,,,0.018287077208739715,0.5532719097682275,0.03305260376656462
1953,0.019309564,,,0.018916892258594633,0.5867893545073457,0.03223796088543018
1954,0.033911094,,,0.033546735498258914,0.619444431271404,0.054156166081604035
1955,0.075149447,,,0.061158706017633346,0.6512624316092115,0.0939079287385204
1956,0.060302034,,,0.04611273871737407,0.6822690448607318,0.06758732360015958
1957,0.058652554,,,0.04613620227778175,0.7124903588846792,0.06475344080445189
1958,0.049828686,,,0.03931023604001931,0.7419528616010211,0.052982120663560506
1959,0.075234681,0.6536636694088387,0.11509692907981386,0.05313171031778002,0.6536636694088387,0.08128294840958708
1960,0.068636894,0.805091793001983,0.08525350102510727,0.05364617182648856,0.805091793001983,0.06663360910245476
1961,0.076392546,0.8331599317491365,0.09169013425744256,0.06288096525937999,0.8331599317491365,0.07547286284803405
1962,0.062400386,0.7787780187997108,0.08012602371106263,0.05356069550943819,0.7787780187997108,0.06877530466510656
1963,0.075582109,1.0772253924550925,0.07016369046754611,0.05829487467185571,1.0772253924550925,0.054115763590567155
1964,0.076171421,1.1231908734888472,0.0678169871193815,0.06179204554859802,1.1231908734888472,0.05501473258651045
1965,0.061644599,0.8983157082703866,0.06862242130741569,0.05206469600618016,0.8983157082703866,0.057958127111486575
1966,0.073659442,0.8985049858499652,0.0819800036282713,0.06354977377343672,0.8985049858499652,0.07072834850584617
1967,0.082390286,0.9700672714929334,0.08493254892848963,0.07056002658416322,0.9700672714929334,0.07273725096979237
1968,0.10505079,1.119471311052215,0.09383964462765958,0.08360348716114191,1.119471311052215,0.07468122348089583
1969,0.06579119,0.9939229241634688,0.0661934526315236,0.06603632697428707,0.9939229241634688,0.06644008843026362
1970,0.064708583,1.0276001079245163,0.06297058797579773,0.06281701550452828,1.0276001079245163,0.06112982571732329
1971,0.082691669,1.0281270044900577,0.08042943005958136,0.059654215348539597,1.0281270044900577,0.05802222399374442
1972,0.076619774,1.0287301781669014,0.07447995171729976,0.06244538387060307,1.0287301781669014,0.060701421223857514
1973,0.096552983,1.098970127493253,0.08785769565933244,0.08037152528820657,1.098970127493253,0.07313349405732596
1974,0.073186271,1.016839729119639,0.07197424422368245,0.0659728972188848,1.016839729119639,0.06488033003588768
1975,0.060256969,0.9762733361174268,0.061721412201666694,0.05450439891760756,0.9762733361174268,0.055829035682125536
1976,0.049229272,0.9403512270157098,0.052352004852733135,0.04840135913904157,0.9403512270157098,0.051471575458722676
1977,0.042334255,1.048340636778721,0.04038215587071221,0.04192132130673842,1.048340636778721,0.03998826319997646
1978,0.047298893,1.0915607985480944,0.04333143244326212,0.045493772845519205,1.0915607985480944,0.04167772688981808
1979,0.058877874,1.5640605812525583,0.037644241345721016,0.056167027060090524,1.5640605812525583,0.03591103038675769
1980,0.081185751,1.2767175572519085,0.06358943725560538,0.07380846219837219,1.2767175572519085,0.05781111239453964
1981,0.081188619,1.2299180763911055,0.06601140397759515,0.06452919203061266,1.2299180763911055,0.05246625224011491
1982,0.075817965,1.4479983420261822,0.05236053301960831,0.061685026326547626,1.4479983420261822,0.04260020508050572
1983,0.079677016,1.568538180284067,0.050796988560119244,0.07510500124413605,1.568538180284067,0.047882163270347874
1984,0.06011362,1.442365469851563,0.04167710698605841,0.05996782599545085,1.442365469851563,0.04157602719206961
1985,0.052226603,1.4754251593911745,0.03539766328883195,0.050844962635516355,1.4754251593911745,0.03446122787854399
1986,0.074190192,1.5409954010665012,0.048144330572728516,0.07189725611396267,1.5409954010665012,0.046656372928954616
1987,0.10401992,1.3909795274072467,0.07478177640320177,0.09515046044208395,1.3909795274072467,0.06840536367881861
1988,0.065306649,1.5403581691297208,0.042397054340223526,0.06023547579451624,1.5403581691297208,0.03910485041835976
1989,0.055800281,1.3102658255657031,0.04258699258672064,0.05224306603539198,1.3102658255657031,0.03987211222030934
1990,0.072327696,1.4380550056952017,0.0502955003206115,0.06657837396002184,1.4380550056952017,0.04629751553059386
1991,0.074837871,1.3961170675166619,0.0536042948985056,0.06945987597524597,1.3961170675166619,0.04975218596732541
1992,0.078794822,1.4232559570192347,0.055362369369612356,0.07310348714540953,1.4232559570192347,0.051363556066550554
1993,0.081996746,1.4214734959713065,0.05768432983969978,0.07647495648120423,1.4214734959713065,0.05379977656843201
1994,0.071254291,1.409735052478478,0.050544455764738684,0.06717580279584827,1.409735052478478,0.047651367310293805
1995,0.091721706,1.5597938042717605,0.05880373787150873,0.08624247226892841,1.5597938042717605,0.05529094424707851
1996,0.11038178,1.620974137852448,0.06809595379864579,0.1046703670610939,1.620974137852448,0.06457250897276295
1997,0.16039723,1.7800328149522042,0.0901091421757339,0.15167523184110268,1.7800328149522042,0.08520923354167227
1998,0.18531129,1.5016955118008974,0.12340137434237036,0.17776940425223622,1.5016955118008974,0.11837912736320798
1999,0.27270764,1.6138831740409907,0.1689760723616501,0.2573962997313641,1.6138831740409907,0.1594888055539183
2000,0.46570149,1.7386037716693317,0.26785947297977714,0.4367927280999463,1.7386037716693317,0.251231899537729
2001,0.23886557,1.7609458410317829,0.13564617629582668,0.23290508526084558,1.7609458410317829,0.1322613562745238
2002,0.15655963,1.7638572785433952,0.08875980608209297,0.15271815448134216,1.7638572785433952,0.0865819226640932
2003,0.093867242,1.8412507836619785,0.05098015046777701,0.09283975931500597,1.8412507836619785,0.050422115302708126
2004,0.095469721,1.9856920381545649,0.04807881542836135,0.09306738109581632,1.9856920381545649,0.04686899041117675
2005,0.086846337,1.7744940852423972,0.04894146321605616,0.09010692646336052,1.7744940852423972,0.05077893874808371
2006,0.085079648,1.6933857767256348,0.05024233058370889,0.08900896161551794,1.6933857767256348,0.0525627195166523
2007,0.10304026,2.066308428565535,0.04986683429033498,0.10858316925063503,2.066308428565535,0.052549352143917476
2008,0.15054853,,,0.16964264630236592,1.952769715571776,0.08687283756481963
2009,0.095693856,,,0.10916076657258868,1.9882951151230372,0.05490169228013907
2010,0.063256815,,,0.07016509470900623,2.0250115632952657,0.0346492316294865
2011,,,,0.0849998875101317,2.0629679870035034,0.04120271766000378
2012,,,,0.07269865532607431,2.1022137606923934,0.034581951981005964
2013,,,,0.0802421623689616,2.1427987067436334,0.0374473636354317
2014,,,,0.08265547702795713,2.1847730969893746,0.037832522352942134
2015,,,,0.0949970697613503,2.228187652537599,0.04263423219905276
2016,,,,0.09614232715053593,2.273093545314623,0.04229580755649398
2017,,,,0.0956641243701106,2.319542398850899,0.041242671148198275
2018,,,,0.1466067848167481,2.3675862892414443,0.06192246740190396
2019,,,,0.12327418146639113,2.4172777458443306,0.05099711097672506
2020,,,,0.22444215415784732,2.4686697523866314,0.09091623289865475
