market prior,from1950to2007,from1980to2007,from1995to2007,from2002to2007,from1950to2020,from1980to2020,from1995to2020,from2002to2020
0.0,0.02856436110878659,0.030951932191445635,0.04175300472499122,0.025482302908997365,0.027501500309687437,0.028354333635089355,0.03225625535011815,0.023619336585903688
0.01,0.028852890008875344,0.031264577971157205,0.042174752247465884,0.02573969990807815,0.027779293242108524,0.028640741045544805,0.03258207611123045,0.02385791574333706
0.02,0.029147307253863868,0.031583604276985346,0.042605106862235946,0.02600234990714017,0.028062755418048407,0.02893299350519322,0.032914546275630764,0.024101363863167028
0.03,0.02944779495751195,0.03190920844478932,0.04304433476803219,0.026270415370100376,0.028352062174935504,0.029231271788751914,0.03325387149496716,0.024349831531859472
0.04,0.0297545428216527,0.03224159603275587,0.04349271325519919,0.02654406553020559,0.028647396155924414,0.02953576420321808,0.033600265989706404,0.024603475610316342
0.05,0.030067748535564834,0.032580981254153304,0.043950531289464446,0.026823476746313017,0.02894894769440783,0.029846666984304587,0.03395395300012437,0.024862459564109145
0.06,0.0303876182008368,0.03292758743770812,0.044418090132969386,0.02710883288191209,0.029256915223071743,0.030164184718180168,0.034315165266083136,0.02512695381479116
0.07,0.0307143667836415,0.033281647517683484,0.04489570400536691,0.027400325708599318,0.029571505709341334,0.030488530790418664,0.03468414553776145,0.025397136113874934
0.08,0.031048218596507162,0.03364340455591917,0.045383700788033936,0.0276981553358667,0.029892935119225472,0.030819927864227558,0.03506114711969364,0.02567319194119966
0.09,0.0313894078118534,0.0340131122982919,0.04588242277471563,0.028002530669227872,0.030221428911744435,0.031158608390208082,0.035446434450679284,0.02595531492956449
0.1,0.031738179009762876,0.034391035768272925,0.04639222747221247,0.028313669898885962,0.030557222566319375,0.031504815150099286,0.0358402837223535,0.026243707317670763
0.11,0.03209478776268156,0.03477745190050071,0.046913488455046316,0.028631801021345354,0.03090056214571622,0.03185880183717905,0.036242983539458595,0.02653858043359965
0.12,0.032459501259984765,0.03517265021755186,0.04744659627839912,0.028957162396587913,0.031251704897372085,0.0322208336762379,0.03665483562513426,0.026840155211254192
0.13,0.03283259897561677,0.03557693355338579,0.0479919594540129,0.029290003343675132,0.031610919896192455,0.032591188086309605,0.037076155574848446,0.027148662742418034
0.14,0.03321437338230999,0.035990618827262365,0.04855000549417584,0.029630584777903913,0.03197848873219469,0.03297015538963879,0.03750727366292808,0.02746434486732987
0.15,0.03360513071621952,0.03641403787228898,0.04912118202940144,0.02997917989293808,0.0323547062466911,0.03335803957069336,0.03794853570602135,0.027787454806945517
0.16,0.03400519179617451,0.03684753832314957,0.049705958005941936,0.030336074891663532,0.03273988132105647,0.03375515908939209,0.03840030398823589,0.028118257840361534
0.17,0.03441489290215252,0.037291484568006794,0.05030482496986895,0.030701569769876345,0.033134337722514985,0.03416184775311971,0.038862958253154396,0.028457032031209264
0.18,0.034834586718032426,0.03774625877005565,0.05091829844511125,0.031075979157313856,0.03353841501181395,0.03457845565254799,0.03933689676843676,0.028804069007199617
0.19,0.035264643344180974,0.038212261964747696,0.051546919413569404,0.0314596332209844,0.03395246951813263,0.03500535016677698,0.03982253746928166,0.02915967479741196
0.2,0.03570545138598324,0.038689915239307045,0.05219125590623903,0.0318528786362467,0.0343768753871093,0.03544291704386169,0.04032031918764768,0.029524170732379607
0.21,0.03615741912504632,0.039179661001829916,0.05285190471517876,0.03225607963164223,0.03481202570846511,0.03589156156340424,0.04083070297483309,0.029897894412536312
0.22,0.036620975780495627,0.03968196434800722,0.053529493237168234,0.032669619114099185,0.035258333730368505,0.036351709788576096,0.041354173525792494,0.030281200751158574
0.23,0.037096572868554015,0.04019731453434498,0.05422468146102756,0.033093899881814756,0.035716234168425245,0.03682380991570046,0.04189124071443915,0.030674463098576216
0.24,0.03758468566945604,0.04072622656769163,0.054938164111830556,0.033529345932891266,0.036186184618009785,0.03730833373038073,0.042442441250155456,0.031078074455136433
0.25,0.038085814811715454,0.04126924292192751,0.05567067296665496,0.03397640387866315,0.03666866707958325,0.03780577818011914,0.043008340466824196,0.03149244878120492
0.26,0.03860048798484674,0.04182693539384545,0.056422979358096245,0.03443554447161806,0.03716418960768573,0.038316667074445074,0.04358953425691642,0.03191802241338336
0.27,0.03912926179285835,0.042399907111569365,0.057195896883549625,0.0349072642589005,0.03767328809546224,0.03884155292477994,0.044186651164545405,0.03235525559712834
0.28,0.0396727237622036,0.042988794710341165,0.05799028434026559,0.03539208737360745,0.03819652820789922,0.03938101893762411,0.044800354652941875,0.03280463414708846
0.29,0.04023149451941774,0.04359427069217695,0.058807048908438346,0.03589056747746108,0.03873450747843301,0.039935681176182194,0.045431345563546686,0.03326667124775168
0.3,0.04080623015540942,0.04421704598777948,0.05964714960713032,0.03640328986999624,0.03928785758526777,0.04050619090727051,0.04608036478588307,0.03374190940843384
0.31,0.04139762479534289,0.04485787274122556,0.06051160105071192,0.0369308737811556,0.03985724682563397,0.04109323715230342,0.04674819615959152,0.03423092258826622
0.32,0.0420064133952744,0.04551754734036123,0.061401477536751806,0.0374739748661726,0.04044338280836388,0.0416975494633667,0.04743566963252669,0.034734318508681895
0.33,0.04263337478923372,0.04619691371857558,0.062317917499986906,0.03803328792387667,0.04104701538759319,0.04231990094789456,0.04814366470166888,0.035252741172990584
0.34,0.04327933501331302,0.04689686695673582,0.06326212837119884,0.038609549862117225,0.041668939863162786,0.04296111156831721,0.048873114166845685,0.03578687361500559
0.35000000000000003,0.04394517093659476,0.047618357217608674,0.0642353918846019,0.03920354293691903,0.04231000047644222,0.04362205174629132,0.049625008230951,0.036337440901390294
0.36,0.04463181423247905,0.048362394049133804,0.06523906988279879,0.03981609829530838,0.04297109423388662,0.04430364630482712,0.050400398984559606,0.03690521341547451
0.37,0.045340255728232685,0.049130051097532754,0.06627461067458924,0.040448099855551374,0.04365317509474197,0.045006878785856116,0.05120040531764785,0.03749101045381538
0.38,0.046071550175462245,0.049922471276525215,0.06734355600805036,0.041100488562898975,0.04435725856401199,0.04573279618562799,0.052026218306642176,0.0380957041708124
0.39,0.04682682148981408,0.05074087244499285,0.06844754872949381,0.04177426706393011,0.04508442673719252,0.04648251415588419,0.052879107131341224,0.03872022391131752
