moments,weights
GPDIFF,1.0
GROWTH,1.0
KM,5.0
OUT,4.0
RD,3.0
RP,3.0
SRDUS,1.0
SRGDP,1.0
SINNOVPATUS,1.0
TO,3.0
SPFLOW,1.0
UUPCOST,1.0
SINNOVPATEU,1.0
DOMPATINUS,1.0
DOMPATINEU,0.2
TE,3.0
