country_code,output,expenditure,deficit,gdp,labor,price_level,rnd_gdp
1,25913244.065775003,26475519.292705003,-562275.2269299999,0.0,207573780.0,,
2,34965855.115979,34963681.244206004,2173.8717729970813,27.0,394709344.0,,
3,10283231.128131,10241536.461902,41694.666229000315,0.0,80939051.0,,
4,15488547.453754,15274142.278173001,214405.17558099888,0.0,975573269.0,,
5,3751164.00522,3777852.7570929998,-26688.751872999594,0.0,134182780.0,,
6,3244962.201388,3343068.108585,-98105.907197,0.0,793438411.0,,
7,2820762.029963,2863615.003384,-42852.973420999944,0.0,23592245.0,,
8,2697900.538,2670619.125419,27281.41258100001,0.0,35953443.0,,
9,2868913.945373,2756907.432488,112006.51288500009,0.0,102920842.0,,
10,2208672.9928450002,2214497.353984,-5824.361138999928,0.0,14844429.0,,
11,1801047.701127,1815533.0296639998,-14485.328536999878,0.0,71958813.0,,
12,1442078.7394339999,1432681.125555,9397.613878999837,0.0,161537956.0,,
13,17318865.500505,16975592.204336,343273.2961690016,66605599347121.5,1551327900.0,,
