country_code,country,fee
1,USA,18768.50257620432
2,EUR,35361.66029495538
3,JAP,33666.372404230184
4,CHN,20703.818950293546
5,BRA,31156.285749818035
6,IND,16873.848726726847
7,ROW,137669.72093412222
