country_code,country,fee
1,USA,14890.647981265758
2,EUR,31659.905062284783
3,JAP,26710.3940893603
4,CHN,16426.098917851363
5,BRA,24718.929047247
6,IND,13387.458080826469
7,ROW,109225.08835138463
